,berita,categories,berantai,topik,jenis,,,
185,,salah,,,[fabricated content],,,
186,"“Seminggu ber-uap:

Menurut dokter, Covid -19 dapat dibunuh dengan menghirup uap dari hidung dan mulut, menghilangkan virus Corona. Jika semua orang memulai Kampanye Drive Uap selama seminggu, pandemi akan segera berakhir.
Jadi inilah sarannya:
Mulai prosesnya selama seminggu dari
9 – 16 Januari 2021, pagi dan sore, selama 5 menit saja, untuk menghirup uap.
Jika semua mengadopsi praktik ini selama seminggu, Covid-19 yang mematikan akan terhapus.
Praktik ini juga tidak memiliki efek samping.

Uap menggunakan Eucalyptus Oil atau Vicks lebih bagus lagi. Berkah bagi semua yang akan menggunakan terapi ini dan membagikannya dengan orang lain!

Diedit dan Diadopsi oleh:
Pastor Virendra Arora dari Bangkok Thailand”

.Pesan penting:

Perspektif Dr. Zambia:
Air panas yang Anda minum baik untuk tenggorokan Anda.

Namun virus corona ini tersembunyi di balik sinus paranasal hidung Anda selama 3 hingga 4 hari.

Air panas yang kami minum tidak sampai di sana.

Setelah 4 hingga 5 hari, virus yang tersembunyi di balik sinus paranasal ini mencapai paru-paru Anda.

Kemudian Anda kesulitan bernapas.

Itulah mengapa sangat penting untuk menghirup uap air panas, yang mencapai bagian belakang sinus paranasal Anda.

Anda harus membunuh virus di hidung dengan uap.

Pada suhu 50 ° C, virus ini menjadi lumpuh, lumpuh.

Pada suhu 60 ° C virus ini menjadi sangat lemah sehingga sistem kekebalan manusia mana pun dapat melawannya.

Pada suhu 70 ° C virus ini mati total.

Inilah yang dilakukan steam.

Seluruh departemen kesehatan masyarakat mengetahui hal ini tetapi banyak yang ingin memanfaatkan pandemi ini sehingga mereka tidak membagikan informasi ini secara terbuka.

Orang yang tinggal di rumah harus melakukan menghirup uap panas sekali sehari.

Jika Anda pergi ke pasar atau keluar rumah untuk berbelanja, menghirup uap panas dua kali sehari.

Siapapun yang bertemu dengan beberapa orang atau pergi ke kantor harus menghirup uap panas uap 3 kali sehari.

Seminggu ber-uap:

Menurut dokter, Covid -19 dapat dibunuh dengan menghirup uap dari hidung dan mulut, menghilangkan virus Corona.

Jika semua orang memulai Kampanye Drive Uap selama seminggu, pandemi akan segera berakhir.

Jadi inilah sarannya:

Mulai prosesnya selama seminggu dari
9 - 16 Januari 2021, pagi dan sore, selama 5 menit saja, untuk menghirup uap.

Jika semua mengadopsi praktik ini selama seminggu, Covid-19 yang mematikan akan terhapus.

Praktik ini juga tidak memiliki efek samping.

Jadi tolong kirimkan pesan ini ke semua kerabat, teman dan tetangga kalian, agar kita semua bisa bersama-sama membunuh virus corona ini dan hidup serta berjalan dengan bebas di dunia indah ciptaan Tuhan ini.

Uap menggunakan Eucalyptus Oil atau Vicks lebih bagus lagi.

Berkah bagi semua yang akan menggunakan terapi ini dan membagikannya dengan orang lain!

Diedit dan Diadopsi oleh:
 Pastor Virendra Arora dari Bangkok Thailand

Kayuputih
Uap&minyak kayu putih
apakah benar uap air mendidih dan minyak kayu putih bisa membunuh virus covid19
Terapi uap apa benar bisa membunuh kuman yang masuk
Penting :
Minyak kayu putih, beres semua coronanya.
Mulai sekarang jangan mau ditakut²ti covid-19 dan jangan keburu minta dites ya?
Tolong ini di baca baik² sampai selesai.

Ini tulisan anaknya Prof. Idrus Paturusi namanya dr. Indrianti Idrus, Sp.KK

Info ini semoga bermanfaat dan penting untuk diketahui, bahwa :

*Minyak kayu putih bisa menghambat replikasi virus.*💞

Prof. Idrus Paturusi.
Lawan covid-19 dengan minyak kayu putih.

Prof Idrus Paturusi, Universitas Hasanudin
Oleh : dr. Indrianti Idrus Sp.KK

Kisah Nyata.., Setelah di vonis positif covid-19 ayahku langsung masuk ke ruang isolasi RS. Unhas di temani Ibu. Pada hari ke dua atau hari ke tiga, saya di sarankan oleh sahabat ayahku dr. Murni, Sp.B. agar bapak di berikan minyak kayu putih.

Ibu ku memang pecinta minyak kayu putih dan minyak tawon dari dulu dan rajin menggosokan minyak-minyak ini di tubuhnya. Ayahpun sangat suka dengan minyak kayu putih karena pengalamannya saat Kecil selalu di balur minyak kayu putih. Jadi masuk di kamar isolasi pun persediaan minyak kayu putih sudah ada.

Singkat cerita, ayah dan ibu ku memakai minyak kayu putih merasakan dadanya plong dan lega.

Alhamdulillah, setelah swab ke tiga dan ke empat, ayahku negatif dan bisa keluar dari rumah sakit. Akhirnya banyak yang telepon ke ayahku, termasuk salah satu pejabat pusat yang kenal dekat dan ketika itu hasil rapid-test nya ayahku adalah positif. Karena teman, ayahku memberitahukan tentang semua pengobatan yang ayah pakai yaitu minyak kayu putih.

Saya sempat kesal pada orang-orang yang menawarkan berbagai macam obat dan suplemen., karena tidak semua suplemen bisa menyembuhkan covid-19.
Akan tetapi saat ini banyak orang yang memanfa'atkan situasi ini dengan menjual suplemen atau obat, yang katanya : ini adalah obat yang paling mujarab untuk para pasien covid-19.
Karena kami orang dari akademisi, tentu harus melakukan beberapa penelitian untuk mendapatkan suatu terapi and its a long journey.

Akhirnya ayahku membentuk team di awal bulan april 2020, meneliti efek dari minyak kayu putih ini.
Karena minyak kayu putih sangat masuk akal bisa menghambat replikasi virus.
Ayah pun melakukan sedikit literature review dan mendapat beberapa jurnal pendukung kalau minyak kayu putih ini, ternyata manfa'atnya sangat banyak, antara lain adalah :
- Anti Bakteri.
- Anti Jamur.
- Bisa Menginaktivasi Airborne Virus.
- 1,8-cineol yang merupakan zat aktif minyak kayu putih bisa sebagai anti inflamasi.
- Kandungan eucalyptus-nya berfungsi sebagai ekspektoran, mukolitik dan decongestan.

Ketika melakukan pertemuan melalui zoom dengan anggota team peneliti yang di ketuai oleh Prof. Elly dari Farmasi. Maka kami mendapatkan lagi tambahan beberapa jurnal pendukung bahwa :
Unsur dari minyak kayu putih yang bernama eucalyptus bisa bertindak sebagai anti virus.

Penelitian kamipun berjalan sejak itu. team kami gabungan dari para dosen Unhas yang berada di Makassar, Inggris, Jepang dan Korea Selatan.
Sehingga penelitian kami menghasilkan sesuatu yang berguna untuk para pasien covid-19.

1. Ambil minyak kayu putih secukupnya, lalu di balurkan ke badan. Fungsinya sebagai penghangat tubuh dan agar lebih fresh.
2. Untuk menangani orang yang positif Covid-19. Caranya yaitu :
- Tuangkan minyak kayu putih secukupnya ke jari.
- Letakkan jari tsb di tengah lidah.
lakukan satu hari 3 - 4 kali.
Hasilnya : Orang yang sudah positif Covid-19, Insya Allah negatif.
3. Minum teh hangat yang telah di tetesi satu tetes minyak kayu putih, lalu di minum selagi hangat.
lakukan Sehari 2 - 3 kali.

Berbagi info. semoga bermanfaat,..🙏

Share ke semua group
kamu semua..
Insaallah Allah membalas kebaikan kamu,.. Aamiin YRA..
Selengkapnya klik ⤵️⤵️
https://makassar.tribunnews.com/2020/06/09/ini-tulisan-asli-dr-idrianti-putri-prof-idrus-terkait-corona-dan-minyak-kayu-putih

*TOLONG DIBACA SAMPAI HABIS, SEMOGA BERMANFAAT*🙏
Minum minyak kayu putih ampuh menangkal corona
Minyak kayu putij ekaliptus
Ekaliptus
Hirup ekaliptus
Minyak kayu putuh bikin Rapid antigen negatif
Uap air panas minyak kayu putih",salah,berantai,kesehatan,[misleading content],,,
187,,salah,,,[fabricated content],,,
188,,salah,,,[false context],,,
189,,salah,,,[fabricated content],,,
190,"“Izin infokan

Yth Bapak/Ibu,

Mohon ijin…🙏🙏

Bisakah mencarikan volunteer tenaga kesehatan untuk merawat pasien covid 19 di wisma atlit jakarta yg akan dibuka senin ini?

Apabila ada bisa hubungi saya… terimakasih…

Dr. Irna

+6281212729543

Kemenkes

(Batas usia 40 thn maksimal)

Gaji Rp.6,3 juta dapet mes

 Teman2 mhn bantuannya share ini ya.. saat ini yg mendaftar masih 140an org. Sementara kebutuhannya 800 org. Terima kasih. 🙏🏻🙏🏻

.

Semoga Allah mudahkan…aamiin

😫😫

Jika kita tak mampu untuk membantu yg dibutuhkan, minimal tumbuhkan rasa empati kita ke para nakes yg terus berjuang menyembuhkan pasien covid ini.

Pliiisss… tolong mereka para nakes  dgn tetap dirumah buat kita yg tak mencari nafkah (jika tak ada urusan penting banget)

Pliiiss….tetap pake masker (jika keluat rumah)

Pliisss…. tetap ingat jaga jarak

Pliisss… cuci tangan sesering mungkin

Pliiiss… jaga kesehatan keluaga !!

Pendaftaran tenaga kesehatan",salah,tidak berantai,kesehatan,[fabricated content],,,
191,,salah,,,[misleading content],,,
192,,salah,,,[misleading content],,,
193,,salah,,,[fabricated content],,,
194,,salah,,,[fabricated content],,,
195,,salah,,,[false context],,,
196,,salah,,,[manipulated content],,,
197,,salah,,,[impostor content],,,
198,"“Bantu share. Siapa tau ada yang butuh !!
Lowongan PT ASTRA (GROUP)
Produksi otomotif
Dengan Fasilitasnya :
1. Gaji Rp. 5.200.000/bln
2. Tunjangan Makan
3. Tunjangan Transportasi
4. Baju Seragam
5. Lemburan
6. BPJS
Penempatan :
1. Karawang
2. Cikarang
3. Jakarta
4. Tangerang
Kriteria :
Bagian Operator Produksi
1. Pria/Wanita Usia 18 – 22 Thn
2. Pendidikan min. SMA/SMK Sederajat
3. Tinggi min. 167 cm (Pria) dan min. 155 cm (Wanita)
4. Tidak bertato, buta warna dan tidak berkaca mata/minus
5. Pengalaman/non pengalaman
Cara Melamar :
Bagi pelamar yg ingin mendaftar silahkan membuka link Formulir Pendaftaran dibawah ini untuk melamar Via Online :
bit.ly/LptksFormsPendaftaran
Pendaftaran online dibuka sampai 15 Januari 2021
Semoga bermanfaat”.
Lowongan kerja pt. Astra (grup)
Lowongan Astra",salah,tidak berantai,ekonomi,[impostor content],,,
199,,salah,,,[misleading content],,,
200,,salah,,,[misleading content],,,
201,,salah,,,[fabricated content],,,
202,"“Tulisan dr Siti Fadillah, dokter jantung dan mantan mentri kesehatan
Menurut saya cara pengobatan Covid-19:
Pertama kita harus tahu bahwa batuk bukan penyakit utama, demam bukan penyakit utama, tapi itu hanya reaksi tubuh terhadap perlawanan infeksi atau lainnya, termasuk sakit tenggorokan.
Kalau kita beli obat flu, isinya adalah pereda nyeri tenggorokan, pereda batuk kering, pereda demam, ada pengencer dahak juga kadang kadang
Dari sini kita belajar, untuk penyembuhan flu diobati sesuai dengan gejala sakitnya apa.
Katakanlah Covid-19 gejala sakitnya adalah radang tenggorokan, batuk kering, demam, sesak nafas
Maka pengobatan nya adalah :

Istirahat Total ( ini wajib apapun jenis sakit flu nya, karena virus dilawan oleh antibodi ). Benar-benar istirahat sampai fit, bukan sampai badan terasa enakan. Harus sampai fit, bisa 7 hari istirahatnya.
Suplai vitamin dengan dosis double, kalau saya biasanya kena flu minum Farmaton Vit 2x sehari, Ester C 1000 mg 2x sehari, Madu 5 sendok, Habbats Cair 5 kapsul, Zaitun 3 sendok.

Pengobatan covid dirumah dengan isolasi mandiri, oleh dr siti fadillah
dr siti fadillah
pernyataan dr siti fadillah",salah,tidak berantai,kesehatan,[misleading content],,,
203,"SELAMAT DATANG DAGING BABI DAN DAGING ANJING BEBAS DI INDONESIA

HANYA ADA DI JAMAN JOKOWI SEORANG MENTERI AGAMA BARU YAITU SI YAKUT KETUA BANSER

MEMUTUSKAN BAHWA : MUI (Mejelis Ulama Indonesia) TIDAK BOLEH MENGELUARKAN SERTIFIKAT HALAL KE MAKANAN & MINUMAN

PARA KECEBONG DAN PENDUKUNG REZIM DAJJAL PADA SENANG GEMBIRA RIA, KARENA BEBAS MAKAN BABI DAN ANJING DIJUAL DIPASAR DIMANA-MANA

Kemenag Resmi Kukuhkan Lembaga Pemeriksa Halal Milik PT Surveyor Indonesia

Sumber :https://bisnis.tempo.co/read/1418678/kemenag-resmi-kukuhkan-lembaga-pemeriksa-halal-milik-pt-surveyor-indonesia

👇👇ARTIS MARRISA HAQUE Menemukan kasus ini

Mulai Januari 2021 Sertifikat Halal di makanan dan minuman MUI dilarang keluarkan oleh menteri agama baru si YAKUT ketua Banser N.U (Nahdatul Ulama)

KITA UMAT MUSLIM TERPAKSA MAKAN DAGING AYAM SAJA, KARENA KALO DAGING SAPI HAMPIR MIRIP DAGING BABI HUTAN. Viralkan""",salah,tidak berantai,politik,[misleading content],,,
204,,salah,,,[impostor content],,,
205,"“http://subsidi[dot]kuotabelajar[dot]xyz/?c=75GB

14:30:26

Berlaku hanya sampai 10 Januari 2021”

Subsidi Kuota 75GB Gratis

http://subsidi.kuotapelajar.pro/?sub=75GB

11:49:41
*Buruan!! Program akan ditutup 3 HARI LAGI*

Gratis kuota 75GB

Kuota belajar dari kemendikbud

subsidi gelombang pertama

subsidi kuota belajar

SUBSIDI GELOMBANG PERTAMA 2021

""Subsidi gelombang ""

http://subsidi.kuotabelajar.xyz/?c=75GB

07:58:56
Berlaku hanya sampai 10 Januari 2021

Subsidi kuota pelajar 75 gb

Paket data gratis

Kuota edukasi

http://subsidi.kuotapelajar.pro/?sub=75GB

20:18:39
Buruan!! Program akan ditutup 3 HARI LAGI

subsidi kuota belajar 2021

http://subsidi.kuotapelajar.pro/?sub=75GB

03:35:17
Buruan!! Program akan ditutup 3 HARI LAGI

Subsidi kuota belajar 75GB

http://pulsa.kuotapremium.xyz/?val=200RB

17:34:04
RESMI
200RB Pulsa Untuk Dosen, Guru, Siswa, Mahasiswa

paket intrnet

http://subsidi.kuotapelajar.pro/?sub=75GB

10:01:48
Buruan!! Program akan ditutup 3 HARI LAGI

Apakah bener

Bantuan Kuota Gratis

http://bantuan.kuotabelajar.vip/?sub=75GB

18:46:32
Cepetan Deadline subsidi 3 HARI LAGI

http://subsidi.kuotapelajar.pro/?sub=75GB

19:25:39
Daftar Segera!! Program akan ditutup 2 HARI LAGI
pemberian kuota pelajar 75 gb
http://subsidi.kuotapelajar.pro/?sub=75GB

14:12:09
Buruan!! Program akan ditutup 3 HARI LAGI
http://subsidi.kuotapelajar.pro/?sub=75GB

12:38:52
Buruan!! Program akan ditutup 3 HARI LAGI
Kuota 75 gb

Pulsa belajar di rumah 75 gb",salah,tidak berantai,kesehatan,[fabricated content],,,
206,,salah,,,[impostor content],,,
207,,salah,,,[impostor content],,,
208,,salah,,,[impostor content],,,
209,,salah,,,[fabricated content],,,
210,"Copas dr grup alumni ITB

Mohon ijin share yaa …. smoga bisa diambil hikmah dan manfaatnya …… aamiiiin.
Ya Allah jahatnya pedagang gula jawa ;
*FORMALIN….!!*

Ini dari temen2 ITB. biologi yg akan melanjutkan penelitian ttg gula merah
*Gula Jawa/Gula Aren/Gula Merah*

Sepertinya udah cukup buanyak kita denger berita2 ttg penyakit, seperti cancer lach….
yang ternyata pemicu utamanya adalah makanan kita.

Sy belakangan ini baru tahu kalau GULA AREN alias GULA JAWA yang berwarna coklat kayak batu itu mengandung FORMALIN.

Informasi ini saya dapat dari sseorg yang dapat dipercaya, karena dia usahanya jualan jamu dan membuat minuman juice dalam botol tanpa pengawet sedikitpun !

Menariknya racikan minumannya itu pake gula yg namanya Gula-Jawa, yg mana ternyata setelah diselidiki mengandung formalin….

kemudian dia berusaha mencari yang tidak mengandung formalin. ternyata tidak ada, alias
hampir semua mengandung formalin.

Akhirnya dia langsung ke petaninya, dia pikir bisa dapat yang free formalin ternyata tidak juga, sebab diberi formalin atas instruksi
para tengkulak, dimana kalau tidak dilakukan maka tidak ada yang mau beli.

Jadi formalin itu sudah diteteskan atau dituangkan diatas pohon.

Memang efek dari formalin itu membuat Gula-Jawa jadi lebih awet dan agak keras (tidak lembek) dan untuk proses memasaknya juga lebih cepet….

Kemudian dia bilang, stop pake formalin.. ntar sy yg beli gulanya saya yang beli gulanya jk para tengkulak itu menolak beli….

Lucunya lg…para petani itu gk berani makan Gula-Jawa buatan sendirinya loch.. karena
dia tahu itu mengandung racun….. sementara kita…
telen terus…racun itu….bodoh ya…

Nach… sebenarnya Gula-Jawa ini diaplikasikan kemana saja yaa ?

Oh…ternyata banyak…
(dan ini yang saya tahu), misalnya:

1. Kolak, hampir semua kolak pake Gula-Jawa… jadi yang biasa buka puasa pake kolak, yaa Selametlah meminum… formalin.

2. Kue-kue yang pake Gula-Jawa yaitu roti gambang.

3. Gado-gado & ketoprak.

4. Rujak.

5. Brown sugar dsb.

Untuk mengetahui mana Gula-Jawa yang pakai pengawet formalin bisa
dipakai tips berikut:

1. Ternyata Gula-Jawa yang sehat itu, dirubung lalat dn semut.. seperti halnya daun yang sehat tanpa DDT adalah daun yang ada ulatnya.

Hik hik hik… Ternyata binatang2 itu lbh cerdik drpd kita dlm hal mendeteksi racun/formalin…

2. Pilih Gula-Aren/Jawa yang lembek dan mudah meleleh, karena yang pakai formalin itu membuatnya menjadi keras.

3. Gula -Aren/Jawa yang tidak pakai pengawet itu harum…

4. Yg pasti…Yg tidak pakai pengawet…Gula-Jawa itu harus baik kemasannya karena mudah rusak.

Nach… Selamat mencari Gula-Jawa yang asli tanpa formalin….

Yach.. ternyata banyak sekali orang memasukkan racun dalam makanan
secara sengaja sekedar mencari keuntungan.. . yang ujung-ujungnya
bisa menimbulkan berbagai macam penyakit terutama KANKER…

Herannya…
Badan Pemerintah yang berwenang ngurusin masalah makanan… kok gak bisa berkutik yaa
Mudah-mudahan BERMANFAAT.!..:pray:🏻",salah,tidak berantai,kesehatan,[misleading content],,,
211,"Operasi razia

30 Desember 2020 ada razia polisi

Menginformasikan Bahwa Besuk Hari Rabu Tanggasl : 30 Desember 2020 akan di laksasnakan Operasi Razia STNK di semua Wilayah RI, untuk Jadwalnya dari :
Pemda, Dishub kerja sama dengan Polri menggelar razia pajak STNK mobil & motor.
Bagi kendaraan yang telat bayar pajak. Berdasarkan data, ada ratusan ribu motor dan mobil yang belum bayar Pajak yang masih menggunakan pelat lama. Bagi kendaraan yang telat bayar pajak 3 tahun atau lebih akan langsung dikandangin.

Berikut jadwal razianya :
1. pagi jam 10:00-12:00
2. siang dari jam 15:00-17:00
3. malam dari jam 22:00-24:00 dilanjutkan kembali dari Jam 03:00-05:00 wib.

Razia zebra gabungan dengan polres se-Indonesia. Lengkapi surat2 kendaraan anda. Mhn ditertibkan atribut2 TNI/Polri yg terpasang di kendaraan anda. nyaman berkendara untuk keselamatan kita bersama
Agar di infokan ke keluarga dan rekan2.
Razia STNK Dimulai Besok, Jadwalnya:
Pemda, Dishub kerja sama dengan Polri menggelar rajia pajak STNK mobil & motor.
Bagi kendaraan yang telat bayar pajak. Berdasarkan data, ada ratusan ribu motor dan mobil yang belum bayar pajak yang masih menggunakan pelat lama. Bagi kendaraan yang telat bayar pajak 3 tahun atau lebih akan langsung dikandangin.

Berikut jadwal razianya. Info dari grup WA kiriman dari Bhayangkara polri:
1. pagi jam 10:00-12:00
2. siang dari jam 15:00-17:00
3. malam dari jam 22:00-24:00 dilanjutkan kembali dari Jam 03:00-05:00 wib.

Razia zebra gabungan dengan polres se-indonesia. Lengkapi surat2 kendaraan anda. Mhn ditertibkan atribut2 TNI/Polri yg terpasang di kendaraan anda *nyaman berkendara untuk keselamatan kita bersama",salah,tidak berantai,lain,[fabricated content],,,
212,,salah,,,[false context],,,
213,"“🎉🎉🎉
TELAH DIBUKA GELOMBANG KE-3 Kuota Internet Free dari Operator!
Anda adalah orang yang beruntung jika mendapatkan pesan ini

Subsidi tidak dipungut biaya sepeserpun
Buka websitenya dan segera daftarkan untuk mendapatkan 75GB.
Batas Pemberian Subsidi: 31 Des 2020
Klik pada link di bawah untuk mendaftar:
http://subsidi(dot)lokerbandung(dot)me/?v=75GB

Anda tidak akan melihat iklan promosi ini 2x segera daftarkan nomor ponsel anda untuk menerima subsidi kuota!”.

gelombang ke-2 kuota internet free dari operator
Gelombang 3
75 gb
Kouta 75GB
Kuota Pandemi

TELAH DIBUKA GELOMBANG KE-3 Kuota Internet Free dari Operator",salah,tidak berantai,ekonomi,[fabricated content],,,
214,,salah,,,[false context],,,
215,"Assalamualaikum Wr. Wb. Tabe teman-teman …………..sekedar menginformasikan,,
Bahwa BPJS kesehatan saat ini ada namanya program,, RELAKSASI program ini di peruntukkan kepada para peserta BPJS kesehatan yg menunggak, maksudnya kalau ada anggota BPJS kesehatan yg menunggak ber tahun tahun terserah mau kelas berapa,, anda hanya cukup membayar selama 6 bulan,, setelah anda membayar hanya 6 bulan maka otomatis kartu BPJS anda langsung aktif.
Program RELAKSASI ini hanya berlaku sampai dengan tgl 25 Desember 2020.
Jadi buruan kalau sekiranya ada teman teman yg BPJS kesehatannya menunggak,,buruan urus mumpung ada program,, dapat diskon ceritanya,,
Contohnya biar 3 tahun tunggakanta tetap bayar 6 bulan..
Demikian info ini.. Kalau ada yg kurang dmengerti silahkan bertanya…dikantor BPJS terdekat Wassalam",salah,tidak berantai,lain,[false context],,,
216,"“Bupati bojonegoro positip covid 19 setelah adanya rapid masal di lingkungan Pemda.

Penyakit Corona virus Disease 2019 (Covid-19) yang sudah mewabah di belahan dunia tidak hinggap di masyarakat biasa.

Di Indonesia, penyakit ini juga hinggap di sejumlah pejabat, baik di tingkat daerah hingga skala nasional.

Terjangkitnya sejumlah pejabat oleh Covid-19 pun kerap kali menjadi buah bibir masyarakat.

Bupati Bojonegoro Dr. Hj. Anna Mu’awanah mengumumkan dirinya terpapar Covid-19. Kabar itu disampaikan sendiri oleh Anna dalam keterangan pres melalui video. Anna mengetahui terkena Covid-19 setelah dia melakukan uji swab.

Sebelumnya, Aparatur Sipil Negara (ASN) Pemerintah Kabupaten Bojonegoro dinyatakan meninggal karena terpapar covid-19 atau virus corona.

“Saya berpesan pada semua, terus bekerja dengan giat, semua pelayanan harus berjalan dengan amat baik dan jangan sampai ada layanan publik terganggu” ujar Dr. Hj. Anna Mu’awanah melalui keterangannya.”",salah,tidak berantai,kesehatan,[misleading content],,,
217,,salah,,,[impostor content],,,
218,"🥳🥳🥳
TELAH DIBUKA GELOMBANG KE-2 Kuota Internet Free dari Operator!
Anda adalah orang yang beruntung jika mendapatkan pesan ini

1. Subsidi tidak dipungut biaya sepeserpun
2. Buka websitenya dan segera daftarkan untuk mendapatkan 50GB.
3. Batas Pemberian Subsidi: 31 Jan 2021

Klik pada link di bawah untuk mendaftar:
https://kuotagratis.org?v=50gb

Harap aktifkan nomor HP anda karena setelah mendaftar pada link diatas, kuota internet akan disubsidikan setelah 30 menit!



",salah,tidak berantai,ekonomi,[fabricated content],,,
219,,salah,,,[fabricated content],,,
220,,salah,,,[impostor content],,,
221,,salah,,,[misleading content],,,
222,"“Hasil Rapat Pimpinan insya Allah Kita akan lockdown mulai tanggal 19 Desember 2020 – 27 Desember 2020, pengumuman resmi akan menyusul dan diminta tetap bekerja dari rumah dan diminta untuk tidak keluar daerah terutama pergi rekreasi”.",salah,tidak berantai,lain,[fabricated content],,,
223,,salah,,,[fabricated content],,,
224,,salah,,,[fabricated content],,,
225,"Mohon ijin sekedar info, menginformasikan bahwa sinyal internet untuk di berhentikan di seluruh Indonesia mulai pukul 18 00 sampai pukul 20 00.

Just info buat kawan"" ku semua.

Semua WA EROR karena ada pemasangan CC REKAM WA , FB , IG , TWITTER , LINE yaa berbasis SOSMED .
Jadi harap berhati"" dalam berucap dan berketik di SOSMED..

Semua aktifitas HP dll....terpantau 100%
Mulai besok sudah berlaku :*
Semua panggilan dicatat.
Semua rekaman panggilan telepon tersimpan.
WhatsApp dipantau,
Twitter dipantau,
Facebook dipantau,
Semua....media sosial..... dan forum dimonitor,
Informasikan kepada mereka yang tidak tahu.
Perangkat Anda terhubung ke sistem pelayanan.
Berhati-hatilah mengirimkan pesan yg tidak perlu.
Beritahu anak-anak Anda, Kerabat dan teman tentang berita ini
Jangan teruskan tulisan atau video dll, bila Anda menerima postingan mengenai situasi politik/masalah Pemerintahan sekarang / PM, dll
Pihak berwajib telah mengeluarkan pemberitahuan yang disebut .. Kejahatan Cargo ... dan tindakan akan dilakukan, bila perlu hapus saja postingan yang masuk kalau akan merugikan anda.
Menulis atau meneruskan pesan apapun pada setiap perdebatan politik dan agama sekarang merupakan pelanggaran ... penangkapan tanpa surat perintah ...
Informasikan berita ini kepada orang lain agar selalu waspada.
Ini sangat serius, perlu diketahui semua kelompok dan anggota /individu.
Bila anda sebagai Admin Group bisa dalam masalah besar.
Beritahu semua orang tentang ini untuk berhati-hati.
Tolong bagikan; Ini sangat berguna untuk Admin group, mohon berhati-hati....
kasih tau yg lainya..

",salah,berantai,lain,[false context],,,
226,,salah,,,[fabricated content],,,
227,"""Singapore akan buka ""Vaccine Tourism""; kita bisa terbang ke Spore, sampe Changi airport suntik vaccine, nginep di hotel airport atau langsung pulang.Pinter SG cari kesempatan bisnis 👍👍🏼

jadi org yg datang ga usah masuk SG, cukup di hotel airport saja. Jalan jalan beli oleh oleh di airport trus pulang lg ke JKT.PM Singapore Lee Hsien Loong baru saja mengumumkan Singapore akan masuk dlm phase 3 yg lebih longgar mulai 28 December ini..

Orang Indonesia pergi nonton F1 Grand Prix atau konser Coldplay ke Singapura aja didatangi - apalagi cuma buat pergi vaksinasi ke negara tetangga?

Mending mana: antrean vaksin berbayarnya di dalam negeri atau di luar negeri?

Tidak perlu karantina karena orangnya tidak masuk kota Singapura. Vaksinasi cukup dilakukan di Changi.

Selesai vaksinasi langsung pulang pakai penerbangan berikutnya.

Ongkosnya paling banyak ""cuma"" Rp.4 juta.

Tempat yang bernama bandara nggak punya masalah dengan logistik. Juga punya banyak ruang terbuka.

Ketimbang repot nunggu antrean vaksinasinya - lebih baik orangnya yang datang. Dari seluruh penjuru (kalo ngga dunia, ya tetangga tetangga di Asia Tenggara)..""",salah,tidak berantai,kesehatan,[manipulated content],,,
228,,salah,,,[impostor content],,,
229,,salah,,,[fabricated content],,,
230,"Tolong bantu dikasih tahu ke saudara² kita yg kena Covid-19 atau yg akan test Rapid dan Swab.
Ini obat herbal yg manjur sekaligus anugerah dari TUHAN yg mudah didapat dan tersedia di lingkungan kita utk membunuh virus.

🥥 1 biji air kelapa muda
:melon: 1 biji jeruk nipis diperas
🥄1/2 sendok teh garam
🥃 2 sendok madu

Semuanya diaduk dan diminum airnya. Dijamin 1 jam kemudian virusnya akan hilang dan hasil test Rapid/Swab negatif.
Mudah mudahan semua dalam keadaan sehat walafiat.

Bisa di infokan ke saudara, teman atau keluarga kita. Semoga bermanfaat.

Indahnya berbagi. :+1:sudah di uji coba
Air kelapa muda dll obat covid 19
Kelapa jeruk nipis obat covid 19
air kelapa
jeruk nipis
air kelapa muda sebagai obat covid
air kelapa obat covid
Kelapa muda obat covid",salah,tidak berantai ,kesehatan,[misleading content],,,
231,,salah,,,[false context],,,
232,"🎉*Perayaan ulang tahun Starbucks*🎉
Starbucks menyediakan 2000 Limited Starbucks Thermo Flask untuk semua orang
Menerima instruksi:
 1. Masing-masing hanya dapat berpartisipasi sekali 
 2. Kuantitas terbatas, pertama datang pertama kali 
 3. Kegiatan kesejahteraan ini tidak memerlukan biaya apapun 
Dapatkan milikmu di sini GRATIS 
 https://vip-j13.work/j/?c=sb

Starbucks anniversary celebration

",salah,tidak berantai,ekonomi,[fabricated content],,,
233,,salah,,,[false context],,,
234,,salah,,,[impostor content],,,
235,,klarifikasi,,,valid,,,
236,,salah,,,[false context],,,
237,,benar,,,valid,,,
238,,benar,,,valid,,,
239,,benar,,,valid,,,
240,"📶📶📶
Ambil 35GB Kuota Internet Free dari Operator!

1. Subsidi akan segera berakhir
2. Buka websitenya dan segera daftarkan nomor ponsel anda untuk mendapatkan 35GB.
3. Batas Pendaftaran: 31 Des 2020

Klik pada link di bawah untuk mendaftar:
https://www.64wg8u.top/tiaoban.php?app=liuliang
📶📶📶
Setelah mendaftar pada link diatas, kuota internet akan disubsidikan setelah 1 jam!",salah,tidak berantai,ekonomi,[fabricated content],,,
